id	name	birth	death	notable	cc_out	cc_in	verdict	blurb
X03123	Charles DeWolf Brownell	1822	1909	YES	2	2	orbit	Painter of Connecticut's fabled Charter Oak
X03412	Charles Devens Osborne II				0	0	SAM-personal (exclude)	San Francisco investment chairman; Morse grandson
X03083	Deacon Elijah Hart	1711	1772		1	1	orbit	
X02061	Domingo Faustino Sarmiento	1811	1888	YES	3	3	orbit	President of Argentina 1868-1874; author of Facundo
X03216	Dr. Charles Peaslee Turner	1826	1910		0	0	REVIEW - floating, zero CC edges	
X03582	Duncan S. Magee		1869		2	2	orbit	Fall Brook coal and railroad magnate
X03415	Edith Dunham Throckmorton				0	0	SAM-personal (exclude)	
X03725	Emily Dickinson	1830	1886	YES	4	4	orbit	American poet (1830-1886) of Amherst MA
X01928	Erskine Mason Phelps	1839	1910	YES	0	0	REVIEW - floating, zero CC edges	Chicago shoe magnate and Democratic power broker
X02035	Frederick Law Olmsted	1822	1903	YES	5	5	orbit	Designer of Central Park; co-founded The Nation
X02354	Gov. Thomas Welles	1590	1660	YES	2	2	orbit	4th Governor of Connecticut Colony; Hartford founder
X00770	Grover Cleveland	1837	1908	YES	4	4	orbit	22nd and 24th President of the United States
X02947	Henry Mills Fuller	1820	1860	YES	0	0	REVIEW - floating, zero CC edges	Whig and Opposition Party U.S. Congressman from Pennsylvania
X02819	Hon. Roger Sherman	1721	1793	YES	7	7	orbit	Only Founding Father to sign all four great
X02950	Hugh Henderson Hamill	1851	1909	YES	0	0	REVIEW - floating, zero CC edges	President of the Trenton Trust and Safe Deposit Company
X03399	John Boit Morse	1910	1988		1	1	orbit	
X02256	John Muir	1838	1914	YES	5	5	orbit	Naturalist; founded Sierra Club; 'Father of National Parks'
X02833	John Owen Dominis	1832	1891	YES	3	3	orbit	Prince Consort of Hawaii; Governor of Oahu, 1864-1891
X02838	Lucy Huston Sturdevant		1940	YES	1	1	orbit	Short-story writer published in Atlantic Monthly
X03747	Major Robert Treat	1622	1710		1	1	orbit	Colonial governor of Connecticut
X02039	Mark Twain	1835	1910	YES	9	9	orbit	Hartford Nook Farm humorist; Huckleberry Finn author
X03413	Mary Lithgow “Polly” Osborne				1	1	SAM-personal (exclude)	Architect and artist; AIA Fellow
X02832	Nathan Sanford	1777	1838	YES	0	0	REVIEW - floating, zero CC edges	Senator, chancellor, and 1824 vice presidential candidate
HD0346	President Ezra Stiles	1727	1795	YES	5	4	orbit	7th President of Yale
X02351	Rev. David Brainerd	1718	1747	YES	3	3	orbit	Missionary to the Delaware Indians
X02041	Rev. Edward Beecher	1803	1895	YES	2	1	orbit	President of Illinois College, 1830-1844
X03084	Rev. Heman Humphrey	1779	1861	YES	3	3	orbit	Second president of Amherst College and pioneering temperance reformer
X01904	Rev. Nathaniel Chauncey	1681	1756	YES	0	0	REVIEW - floating, zero CC edges	Yale 1702 first M.A.; Durham minister 50 years
X03414	Robert J. Dunham Jr.				0	0	SAM-personal (exclude)	
X03400	Samuel Finley Brown Morse Jr.	1908	1956		1	1	orbit	
X01980	Sarah Porter	1813	1900	YES	4	4	orbit	Founder of Miss Porter's School, 1843
X03750	Washington Allston	1779	1843	YES	1	1	orbit	American Romantic painter
X03383	Wendell Phillips	1811	1884	YES	4	4	orbit	Preeminent abolitionist orator of his era
X00906	William Kerin Constable	1752	1803	YES	0	0	REVIEW - floating, zero CC edges	
