id	name	birth	death	notable	why_kept
I00053	Hon. Daniel Edwards	1701	1765		Husband of Fourth Generation Hooker — Sam
I00054	Eunice Talcott Hooker	1709	1795		Wife of Fourth Generation Hooker
T00042	Mary Talcott	1661	1723		son Daniel Edwards married H00112
T00045	Gov. Joseph Talcott	1669	1741	YES	Gov. Joseph Talcott — three children married in
T00070	Col. Matthew Talcott	1713	1802	YES	Col. Matthew Talcott — married H00356
T00387	Col. Jeremiah Wadsworth	1743	1804	YES	married in, 9 Hooker children
T01001	Col. Samuel Talcott Jr.	1732	1780	YES	Hooker in-law easter egg — Sam
T01389	Samuel Talcott III	1765	1839		married H00687
T01488	Catharine L Talcott	1832	1870		married a Hooker descendant
TD0128	Julia Hobart Barnard	1819	1908		a child married in / is a Hooker descendant
TD0233	Julia Elizabeth Barnard Lyman	1853	1929		married a Hooker descendant
X00446	Esther Talcott	1731	1797		married H00360, 8 Hooker children
