id,field,current_structured,value_in_research_notes,category,snippet
H00038,death,1723-?-?,1723-03-17,clean,"ted March 17, 1723;"
H00029,death,1689-?-?,1689-08-08,clean,"ted Aug 8, 1689 w"
T00039,death,1683-?-?,1683-04-30,clean,"ied April 30, 1683."
T01895,death,1742-?-?,1742-10-08,clean,"ied Oct 8, 1742."
T01899,death,1789-?-?,1789-10-14,clean,"ied Oct 14, 1789."
T01001,death,1780-?-?,1780-03-16,clean,"; d. Mar 16, 1780 G"
H00707,death,1823-?-?,1823-01-23,clean,"; d. Jan 23, 1823 W"
H03204,death,1831-?-?,1831-01-05,clean,"ied Jan 5, 1831 a"
H03209,death,1873-?-?,1873-07-16,clean,"ied July 16, 1873."
H00295,death,1736-9-?,1736-09-06,clean,"ied Sept 6, 1736 —"
H00075,death,1688-?-?,1688-11-21,clean,"ied Nov 21, 1688 a"
H00076,death,1685-?-?,1685-05-26,clean,"ied May 26, 1685 —"
H00083,death,1704-?-?,1704-01-18,clean,"ied Jan 18, 1704 —"
X00087,death,1666-?-?,1666-12-28,clean,"ted Dec 28, 1666;"
HD0134,birth,1745-?-?,1745-08-25,clean,": b. Aug 25, 1745 M"
HD0222,birth,1735-?-?,1735-09-08,clean,"s b. Sep 8, 1735 M"
H00201,death,1799-?-?,1799-06-27,clean,"ted June 27 1799,"
HD0342,death,1794-?-?,1794-10-04,clean,"ted Oct 4, 1794 —"
H00756,death,1776-?-?,1776-08-27,clean,"and Aug 27, 1776;"
H00758,death,1825-?-?,1825-04-01,clean,"; d. Apr 1, 1825 C"
H00759,death,1823-?-?,1823-02-24,clean,"; d. Feb 24, 1823 W"
H00353,death,1840-?-?,1840-04-23,clean,"; d. Apr 23, 1840 L"
HD0420,death,1805-?-?,1805-09-18,clean,". d. Sep 18, 1805 W"
HD0424,death,1860-?-?,1860-05-05,clean,". d. May 5, 1860 W"
H00381,death,1813-?-?,1813-10-27,clean,"; d. Oct 27, 1813 S"
H00382,death,1803-?-?,1803-05-02,clean,"; d. May 2, 1803 H"
HD0460,death,1744-?-?,1744-04-06,clean,"ied Apr 6, 1744 a"
HD0480,birth,1794-?-?,1794-01-05,clean,". b. Jan 5, 1794 H"
HD0480,death,1884-?-?,1884-08-20,clean,". d. Aug 20, 1884 W"
HD0484,death,1892-?-?,1892-05-28,clean,"d. May 28, 1892 F"
HD0518,death,1891-?-?,1891-06-19,clean,". d. Jun 19, 1891."
HD0519,death,1841-?-?,1841-02-18,clean,"d. Feb 18, 1841 a"
HD0520,death,1914-?-?,1914-12-14,clean,". d. Dec 14, 1914 W"
HD0526,death,1881-?-?,1881-09-13,clean,". d. Sep 13, 1881."
H00446,death,1810-?-?,1810-05-25,clean,"; d. May 25, 1810 a"
HD0544,death,1968-?-?,1968-06-18,clean,". d. Jun 18, 1968 N"
HD0572,death,1968-?-?,1968-02-24,clean,"d. Feb 24, 1968 W"
HD0573,death,1980-?-?,1980-06-30,clean,"d. Jun 30, 1980 W"
HD0575,death,1976-?-?,1976-05-21,clean,". d. May 21, 1976 H"
H00492,death,1776-?-?,1776-07-24,clean,"; d. Jul 24, 1776 i"
H00495,death,1768-?-?,1768-04-20,clean,"ied Apr 20, 1768 a"
H00510,death,1786-?-?,1786-10-29,clean,"d. Oct 29, 1786 a"
H00511,death,1791-?-?,1791-11-09,clean,"d. Nov 9, 1791 a"
HD0603,death,1911-?-?,1911-08-24,clean,". d. Aug 24, 1911 A"
HD0604,death,1917-?-?,1917-08-24,clean,". d. Aug 24, 1917 P"
HD0605,death,1917-?-?,1917-01-31,clean,". d. Jan 31, 1917 A"
H01399,death,1857-?-?,1857-05-13,clean,"; d. May 13, 1857."
H01402,death,1870-?-?,1870-07-14,clean,"; d. Jul 14, 1870 S"
HD0624,birth,1878-?-?,1878-02-20,clean,"b. Feb 20, 1878;"
HD0625,birth,1882-?-?,1882-07-26,clean,"b. Jul 26, 1882;"
HD0625,death,1936-?-?,1936-02-21,clean,"; d. Feb 21, 1936 C"
HD0652,death,1891-?-?,1891-08-10,clean,"d. Aug 10, 1891 p"
HD0661,birth,1849-?-?,1849-08-14,clean,"b. Aug 14, 1849 C"
HD0664,birth,1871-?-?,1871-08-04,clean,"b. Aug 4, 1871 M"
HD0665,birth,1875-?-?,1875-12-23,clean,"b. Dec 23, 1875 I"
HD0665,death,1919-?-?,1919-04-12,clean,"; d. Apr 12, 1919 V"
HD0666,death,1964-?-?,1964-01-10,clean,"; d. Jan 10, 1964 H"
HD0667,birth,1887-?-?,1887-03-03,clean,"b. Mar 3, 1887 T"
HD0667,death,1975-?-?,1975-01-09,clean,"; d. Jan 9, 1975 H"
HD0670,birth,1846-?-?,1846-11-20,clean,"b. Nov 20, 1846;"
HD0671,birth,1848-?-?,1848-06-05,clean,"b. Jun 5, 1848;"
HD0672,birth,1850-?-?,1850-06-06,clean,"b. Jun 6, 1850 P"
HD0677,birth,1746-?-?,1746-09-05,clean,"b. Sep 5, 1746 K"
HD0685,birth,1767-?-?,1767-08-01,clean,"b. Aug 1, 1767;"
HD0689,birth,1776-?-?,1776-06-28,clean,"b. Jun 28, 1776 H"
HD0693,birth,1783-?-?,1783-09-03,clean,"b. Sept 3, 1783 S"
HD0695,birth,1799-?-?,1799-02-03,clean,"b. Feb 3, 1799."
HD0705,death,1867-?-?,1867-06-08,clean,"d. Jun 8, 1867 a"
HD0706,death,1903-?-?,1903-01-15,clean,"d. Jan 15, 1903 A"
HD0707,death,1882-?-?,1882-06-15,clean,"d. Jun 15, 1882 a"
HD0708,death,1954-?-?,1954-02-10,clean,". d. Feb 10, 1954 R"
HD0709,death,1964-?-?,1964-09-06,clean,". d. Sep 6, 1964 M"
HD0730,death,1823-?-?,1823-09-30,clean,"d. Sep 30, 1823 —"
HD0732,death,1918-?-?,1918-06-29,clean,"; d. Jun 29, 1918 P"
HD0733,death,1881-?-?,1881-04-11,clean,"; d. Apr 11, 1881 P"
HD0734,death,1929-?-?,1929-03-17,clean,"; d. Mar 17, 1929 E"
HD0741,birth,1849-?-?,1849-09-05,clean,"b. Sep 5, 1849 W"
HD0742,birth,1856-?-?,1856-02-17,clean,"b. Feb 17, 1856 G"
H00566,death,1781-?-?,1781-11-07,clean,". d. Nov 7, 1781 a"
HD0761,birth,1792-?-?,1792-07-01,clean,"b. Jul 1, 1792 O"
HD0763,death,1901-?-?,1901-11-23,clean,"; d. Nov 23, 1901."
HD0764,birth,1839-?-?,1839-12-02,clean,"b. Dec 2, 1839 P"
HD0764,death,1903-?-?,1903-10-15,clean,"; d. Oct 15, 1903 P"
HD0768,birth,1911-?-?,1911-07-04,clean,"b. Jul 4, 1911;"
HD0768,death,1934-?-?,1934-04-02,clean,"; d. Apr 2, 1934 P"
HD0769,birth,1913-?-?,1913-08-31,clean,"b. Aug 31, 1913 P"
HD0771,birth,1916-?-?,1916-08-04,clean,"b. Aug 4, 1916 P"
HD0772,birth,1917-?-?,1917-04-30,clean,"b. Apr 30, 1917 P"
HD0773,birth,1926-?-?,1926-10-25,clean,"b. Oct 25, 1926 P"
HD0773,death,2017-?-?,2017-09-04,clean,"; d. Sep 4, 2017 E"
H00580,death,1844-?-?,1844-10-10,clean,"; d. Oct 10, 1844 W"
HD0791,birth,1814-?-?,1814-01-03,clean,"b. Jan 3, 1814 C"
HD0792,birth,1814-?-?,1814-04-01,clean,"b. Apr 1, 1814 M"
HD0785,birth,1806-?-?,1806-03-24,clean,"b. Mar 24, 1806;"
HD0785,death,1829-?-?,1829-09-01,clean,"; d. Sep 1, 1829 M"
HD0786,death,1836-?-?,1836-10-29,clean,"ied Oct 29, 1836 a"
HD0788,death,1841-?-?,1841-12-15,clean,". d. Dec 15, 1841 C"
H00600,death,1826-?-?,1826-03-18,clean,". d. Mar 18, 1826."
H00601,death,1824-?-?,1824-03-05,clean,". d. Mar 5, 1824."
HD0797,birth,1842-?-?,1842-06-23,clean,"b. Jun 23, 1842 W"
HD0800,birth,1890-?-?,1890-09-09,clean,"b. Sep 9, 1890;"
HD0800,death,1978-?-?,1978-03-22,clean,"; d. Mar 22, 1978 a"
HD0801,birth,1903-?-?,1903-04-11,clean,"b. Apr 11, 1903;"
HD0801,death,1973-?-?,1973-10-06,clean,"; d. Oct 6, 1973."
H00635,death,1775-?-?,1775-02-20,clean,"; d. Feb 20, 1775 a"
H00641,death,1823-?-?,1823-07-08,clean,"; d. Jul 8, 1823 a"
HD0816,death,1841-?-?,1841-03-14,clean,"; d. Mar 14, 1841 a"
HD0817,death,1841-?-?,1841-03-06,clean,"; d. Mar 6, 1841 a"
