person_id	field	value_or_angle	status	slug	proposed	decision
HD8242	bio_blurb	Founded St. Ann's Church for the deaf	OK bio_blurb set	/person/thomas-gallaudet-1822		
HD8242	education	"school_name=""Trinity College"" dates=""1842"" location=""Hartford, Connecticut"""	OK education record appended	/person/thomas-gallaudet-1822		
HD8242	career	"role=""Teacher"" organization=""New York Institution for the Deaf"" start_year=1843 end_year=1858"	OK career record appended	/person/thomas-gallaudet-1822		
HD8242	career	"role=""Founder and rector"" organization=""St. Ann's Church for Deaf-Mutes"" start_year=1852 end_year=1902"	OK career record appended	/person/thomas-gallaudet-1822		
HD8242	career	"role=""General manager"" organization=""Church Mission to Deaf-Mutes"" start_year=1872 end_year=1902"	OK career record appended	/person/thomas-gallaudet-1822		
HD8242	nb_approved	"header=""He founded a church that preached in signs"" body=""He was teaching at the New York Institution for the Deaf when he took orders, ordained deacon in 1850 and priest the year after. In October 1852 he founded St. Ann's Church for Deaf-Mutes, and by 1859 it had a church and rectory of its own on 18th Street near Fifth Avenue."" category=religion"	OK nb_approved appended verbatim: 'He founded a church that preached in signs'	/person/thomas-gallaudet-1822		
HD8242	nb_approved	"header=""He married into the world he served"" body=""Elizabeth Reynolds Budd, whom he married in July 1845, was deaf. She was a daughter of Dr. Bern W. Budd of New York, and they gave one of their sons his name."" category=marriage"	OK nb_approved appended verbatim: 'He married into the world he served'	/person/thomas-gallaudet-1822		
HD8242	nb_approved	"header=""Four cities copied St. Ann's"" body=""The Church Mission to Deaf-Mutes was incorporated in 1872 with him as its general manager, and churches on the St. Ann's model followed at Philadelphia, Baltimore, Albany and Boston. He was called the pioneer of church work among the deaf in this country."" category=legacy"	OK nb_approved appended verbatim: 'Four cities copied St. Ann's'	/person/thomas-gallaudet-1822		
HD8242	nb_approved	"header=""He founded a home on the Hudson"" body=""In 1886 he opened the Gallaudet Home for Deaf-Mutes on a farm between New Hamburgh and Poughkeepsie, meant for the aged and the infirm among them."" category=legacy"	OK nb_approved appended verbatim: 'He founded a home on the Hudson'	/person/thomas-gallaudet-1822		
HD8242	nb_approved	"header=""He went to Milan and Brussels for it"" body=""He attended every convention of teachers of the deaf held in this country, and crossed for the congresses at Milan in 1880 and Brussels in 1883. In the summer of 1886 he went the other way, to California, on the same errand."" category=career"	OK nb_approved appended verbatim: 'He went to Milan and Brussels for it'	/person/thomas-gallaudet-1822		
HD8242	nb_approved	"header=""He and his wife died in the same rooms"" body=""He died at 112 West 78th Street in New York in August 1902, eighty years and not quite three months old, and was carried back to Hartford for burial. His wife died at that same address eight months later, and was buried beside him."" category=death"	OK nb_approved appended verbatim: 'He and his wife died in the same rooms' (WARN header 9 words > 8)	/person/thomas-gallaudet-1822		
I02690	nb_approved	"header=""She was deaf, and so was the congregation"" body=""She was a daughter of Dr. Bern W. Budd of New York and Elizabeth Reynolds, and she was deaf. She married Thomas Gallaudet in July 1845, seven years before he founded the church for deaf worshippers that four other cities would copy."" category=character"	OK nb_approved appended verbatim: 'She was deaf, and so was the congregation'	/person/elizabeth-budd-1825		
HD8242	cc	"related=HD6130 link=""Sarah Sofia Tyler Cowen"" label=""listed him in 1884 among the survivors of her 1840 wedding"""	OK cc->HD6130 added; FLAG needs reciprocal cc row on HD6130	/person/thomas-gallaudet-1822		
HD6130	cc	"related=HD8242 link=""Rev. Thomas Gallaudet"" label=""was among the wedding guests she still counted living in 1884"""	OK cc->HD8242 added (reciprocal present)	/person/sarah-1820		
HD6130	field_set	marriages[0].date_month=6	OK set marriages[0].date_month = 6	/person/sarah-1820		
