person_id	field	value_or_angle	status	slug	proposed	decision
HD3015	tag_add	distinguished_service_medal	OK tag 'distinguished_service_medal' added	/person/edward-munson-1868		
HD3015	tag_add	order_of_the_bath	OK tag 'order_of_the_bath' added	/person/edward-munson-1868		
HD3015	nb_replace	"old=""He attended McKinley after the shooting"" header=""He was at McKinley's side in Buffalo"" body=""He was one of the physicians who attended President McKinley at Buffalo after he was shot on the sixth of September, 1901. The president lived eight days."" category=career"	OK nb_replace: 'He attended McKinley after the shooting' -> 'He was at McKinley's side in Buffalo' placed verbatim in place	/person/edward-munson-1868		
HD3015	nb_approved	"header=""He halved the sick rate at his fort"" body=""His first post was Fort Assinniboine in Montana, where in his first year the five hundred and thirteen men went to hospital at a rate of eleven hundred a thousand. By 1897 he had it down to five hundred and forty. His father had been Lincoln's judge in the same territory thirty years before."" category=military"	OK nb_approved appended verbatim: 'He halved the sick rate at his fort'	/person/edward-munson-1868		
HD3015	nb_approved	"header=""Manila's health officer, until it made him ill"" body=""He went to the Philippines in 1903 as health officer for Manila under Governor William Howard Taft. Tuberculosis took hold, and in 1904 he was sent home to the Army's own tuberculosis hospital at Fort Bayard in New Mexico, where his son was born that August. He went back to the islands twice more."" category=character"	OK nb_approved appended verbatim: 'Manila's health officer, until it made him ill'	/person/edward-munson-1868		
HD3015	nb_approved	"header=""A hospital at Leavenworth carries his name"" body=""The Munson Army Hospital at Fort Leavenworth is named for him. He had commanded the American medical relief sent to Japan after the Great Kanto earthquake of 1923, and finished at the Medical Field Service School at Carlisle Barracks."" category=legacy"	OK nb_approved appended verbatim: 'A hospital at Leavenworth carries his name'	/person/edward-munson-1868		
HD3015	nb_approved	"header=""He wrote the Army's book on morale"" body=""As chief of the training division under the Surgeon General he was made a brigadier general late in 1918, and afterwards ran the Morale Branch. His 1921 handbook on the systematic development of morale and the control of human behaviour came out of that work."" category=literature"	OK nb_approved appended verbatim: 'He wrote the Army's book on morale'	/person/edward-munson-1868		
HD3015	cc	"related=HD7244 link=""George Ensign Bushnell"" label=""commanded the Fort Bayard tuberculosis hospital where he recovered"""	OK cc->HD7244 added; FLAG needs reciprocal cc row on HD7244	/person/edward-munson-1868		
HD7244	cc	"related=HD3015 link=""Brig. Gen. Edward Lyman Munson"" label=""was his patient at Fort Bayard, where his son was born that year"""	OK cc->HD3015 added (reciprocal present)	/person/george-bushnell-1853		
HD0570	cc	"related=Y00010 link=""Samuel H. Huntington"" label=""took a Connecticut bench to the Ohio frontier and governed the state"""	OK cc->Y00010 added; FLAG needs reciprocal cc row on Y00010	/person/lyman-munson-1822		
Y00010	cc	"related=HD0570 link=""Lyman Ezra Munson"" label=""carried a Connecticut bench to Montana Territory sixty years later"""	OK cc->HD0570 added (reciprocal present)	/person/samuel-huntington-1765		
