person_id	field	value_or_angle	status	slug	proposed	decision
X00153	notable_blurb	Congregational minister at Walpole and Charlemont	OK notable_blurb set	/person/jonathan-leavitt-1731		
X00153	field_set	notable.notable_category[0]=religion	FLAG index 0 out of range (len 0)	/person/jonathan-leavitt-1731		
X00153	education_set	"index=0 dates=""Class of 1758"" notes=null type=null"	OK education[0] updated in place	/person/jonathan-leavitt-1731		
X00153	career	"role=""Pastor"" organization=""Congregational Church, Walpole, New Hampshire"" start_year=1761 end_year=1764"	OK career record appended	/person/jonathan-leavitt-1731		
X00153	career	"role=""Pastor"" organization=""First Church, Charlemont, Massachusetts"" start_year=1767 end_year=1785"	OK career record appended	/person/jonathan-leavitt-1731		
X00153	nb_replace	"old=""Yale 1758 minister at Walpole and Charlemont"" header=""The colonel who settled him unsettled him"" body=""It was handed down at Walpole that he had dragged a runaway enslaved woman home behind his horse, by a rope tied to his saddle. Colonel Bellows said such cruelty should not be submitted to — that he had settled Parson Leavitt, and now he would unsettle him. Ministers held their pulpits for life and knew their rights, and it took some diplomacy to shake him off."" category=crime"	OK nb_replace: 'Yale 1758 minister at Walpole and Charlemont' -> 'The colonel who settled him unsettled him' placed verbatim in place	/person/jonathan-leavitt-1731		
X00153	nb_replace	"old=""Uncle of Chief Justice Oliver Ellsworth"" header=""The meeting-house rose for the wig"" body=""He wore a large full-powdered wig and a cocked hat, and when he came into the meeting-house the whole congregation stood up to the man in black, who always gave a full bow back. Sarah walked in behind him in a full suit of brocade lutestring, no bonnet, holding a fan against the sun as was the fashion down country."" category=character"	OK nb_replace: 'Uncle of Chief Justice Oliver Ellsworth' -> 'The meeting-house rose for the wig' placed verbatim in place	/person/jonathan-leavitt-1731		
X00153	nb_replace	"old=""Dragged a runaway enslaved woman home by rope"" header=""They shut the church; he moved next door"" body=""His fondness for English rule sat badly with hill farmers scratching a living out of the Berkshires, and they held back his pay. By 1777 he would not take what came in depreciating colonial money, so Charlemont voted to close the church and sent a constable to bar him out; he carried the service to the town schoolhouse and preached there nearly another decade. Turned out for good in 1785, he sued his parishioners for the back wages and the loss on the currency, and won."" category=religion"	OK nb_replace: 'Dragged a runaway enslaved woman home by rope' -> 'They shut the church; he moved next door' placed verbatim in place	/person/jonathan-leavitt-1731		
X00153	nb_replace	"old=""Dismissed from Charlemont for his Loyalist sentiments"" header=""One nod of his wig did the work"" body=""A fellow minister said his sermons were not fresh and beautiful by the imagination, nor ardent and overflowing with love, but didactic, dry, and clean, and very long, delivered in a dull monotony. Another said he would do more execution with one nod of his wig than you or I could in talking half an hour."" category=character"	OK nb_replace: 'Dismissed from Charlemont for his Loyalist sentiments' -> 'One nod of his wig did the work' placed verbatim in place	/person/jonathan-leavitt-1731		
X00153	nb_replace	"old=""Wife died from medicine her daughter gave her"" header=""His descendants split over him"" body=""The minister run out of Walpole over a rope and a saddle was grandfather to Rev. Joshua Leavitt, the abolitionist editor, and to Roger Hooker Leavitt and Hart Leavitt, who ran Underground Railroad stations in the very town that had dismissed him. Two great-grandsons published a slim volume in 1904 arguing he had been a misunderstood and complicated man."" category=legacy"	OK nb_replace: 'Wife died from medicine her daughter gave her' -> 'His descendants split over him' placed verbatim in place	/person/jonathan-leavitt-1731		
X00153	nb_replace	"old=""Two grandsons defended him in a 1904 book"" header=""Uncle to the third Chief Justice"" body=""His sister Jemima married Capt. David Ellsworth, and their son Oliver became the third Chief Justice of the United States. Jonathan was not yet two when his own father, a brother and a sister all died within three days of each other; he and two surviving brothers went to Yale anyway."" category=family"	OK nb_replace: 'Two grandsons defended him in a 1904 book' -> 'Uncle to the third Chief Justice' placed verbatim in place	/person/jonathan-leavitt-1731		
X00153	cc	"related=H00273 link=""Selah Hart"" label=""collected his freedman's army wages as the price of freeing him"""	OK cc->H00273 added; FLAG needs reciprocal cc row on H00273	/person/jonathan-leavitt-1731		
H00273	cc	"related=X00153 link=""Rev. Jonathan Leavitt"" label=""lost his Walpole pulpit for dragging a runaway home by rope"""	OK cc->X00153 added (reciprocal present)	/person/selah-hart-1732		
X00153	cc	"related=X02368 link=""Rev. James Hobart"" label=""kept preaching thirty years after his own council dismissed him"""	OK cc->X02368 added; FLAG needs reciprocal cc row on X02368	/person/jonathan-leavitt-1731		
