person_id	field	value_or_angle	status	slug	proposed	decision
HD04893	field_set	cross_connections[1].link_text=Bessie Anthony	OK set cross_connections[1].link_text = 'Bessie Anthony'	/person/elizabeth-woolsey-1908		
X02064	photo_url	https://res.cloudinary.com/dc5clrqtw/image/upload/v1785081428/628_123452710181_igqoms.jpg	OK photo set: https://res.cloudinary.com/dc5clrqtw/image/uploa	/person/robert-lincoln-1843		
X02064	field_set	birth.county=Sangamon County	OK set birth.county = 'Sangamon County'	/person/robert-lincoln-1843		
X02064	field_set	birth.country=United States	OK set birth.country = 'United States'	/person/robert-lincoln-1843		
X02064	field_set	death.county=Bennington County	OK set death.county = 'Bennington County'	/person/robert-lincoln-1843		
X02064	field_set	death.country=United States	OK set death.country = 'United States'	/person/robert-lincoln-1843		
X02064	field_set	death.cause=Cerebral hemorrhage	OK set death.cause = 'Cerebral hemorrhage'	/person/robert-lincoln-1843		
X02064	education	"school_name=""Harvard University"" dates=""1861-1865"""	OK education record appended	/person/robert-lincoln-1843		
X02064	education	"school_name=""Phillips Exeter Academy"" dates=""Class of 1860"""	OK education record appended	/person/robert-lincoln-1843		
X02064	career	"role=""Chairman of the Board"" organization=""Pullman Palace Car Company"" start_year=1911 end_year=1922"	OK career record appended	/person/robert-lincoln-1843		
X02064	career	"role=""President"" organization=""Pullman Palace Car Company"" start_year=1897 end_year=1911"	OK career record appended	/person/robert-lincoln-1843		
X02064	career	"role=""United States Minister to Great Britain"" organization=""Court of St James's"" start_year=1889 end_year=1893"	OK career record appended	/person/robert-lincoln-1843		
X02064	career	"role=""Secretary of War"" organization=""United States, under Garfield and Arthur"" start_year=1881 end_year=1885"	OK career record appended	/person/robert-lincoln-1843		
X02064	career	"role=""Captain, Assistant Adjutant"" organization=""Staff of Gen. Ulysses S. Grant"" start_year=1865 end_year=1865"	OK career record appended	/person/robert-lincoln-1843		
X02064	nb_replace	"old=""He died at Hildene"" header=""The only Lincoln son to reach thirty"" body=""Eddie died at three, Willie at eleven in the White House, and Tad at eighteen. Robert alone came through, and outlived them all by more than half a century, dying in his sleep at Manchester at eighty-two."" category=family"	OK nb_replace: 'He died at Hildene' -> 'The only Lincoln son to reach thirty' placed verbatim in place	/person/robert-lincoln-1843		
X02064	nb_replace	"old=""He joined Governor Crosby's presidential big game hunt"" header=""At Appomattox, then Ford's five days later"" body=""Commissioned a captain in February 1865, he spent the last weeks of the war on Grant's immediate staff — a place that kept him well clear of any fighting. He stood at Appomattox Court House on 9 April when Lee surrendered. His father was shot five days after that."" category=military"	OK nb_replace: 'He joined Governor Crosby's presidential big game hunt' -> 'At Appomattox, then Ford's five days later' placed verbatim in place	/person/robert-lincoln-1843		
X02064	nb_approved	"header=""The firm carried his name for a century"" body=""He finished his law studies in Chicago after the assassination and came to the bar in 1867, joining Edward Swift Isham's practice as junior partner in 1872. The firm kept the name for a hundred and sixteen years."" category=career"	OK nb_approved appended verbatim: 'The firm carried his name for a century'	/person/robert-lincoln-1843		
X02064	nb_approved	"header=""He turned down one post and took another"" body=""He refused Hayes's offer of the assistant secretaryship of state in 1877, then served as Garfield's Secretary of War and stayed on under Arthur until 1885. Harrison sent him to the Court of St James's in 1889; his young son Jack died of blood poisoning while they were in London."" category=politics"	OK nb_approved appended verbatim: 'He turned down one post and took another'	/person/robert-lincoln-1843		
X02064	nb_approved	"header=""He ran the company that built the cars"" body=""He took the presidency of the Pullman Palace Car Company in 1897 and its chairmanship in 1911, holding that until 1922. It was from that office, in 1902, that he handed a sterling silver box to a Chicago girl who had just won a golf championship."" category=business"	OK nb_approved appended verbatim: 'He ran the company that built the cars'	/person/robert-lincoln-1843		
X02064	nb_approved	"header=""He shot big game with a president"" body=""In 1883, as Arthur's Secretary of War, he joined the presidential hunting expedition organised by Montana's territorial governor, John Schuyler Crosby. Crosby was father-in-law to a grandson of Eunice Newton Foote."" category=character"	OK nb_approved appended verbatim: 'He shot big game with a president'	/person/robert-lincoln-1843		
X03773	nb_approved	"header=""She met him while his father was President"" body=""She was in Washington as a senator's daughter when they met, and Abraham Lincoln was still alive. They married there in September 1868, three years after the assassination."" category=marriage"	OK nb_approved appended verbatim: 'She met him while his father was President'	/person/mary-harlan-1846		
X03773	nb_approved	"header=""Her father sat in the Senate and Cabinet"" body=""James Harlan of Iowa went to the Senate as a Free Soiler in 1855 and stayed as a Republican through the war, leaving in 1865 to serve Andrew Johnson as Secretary of the Interior. He returned to the Senate two years later, and afterwards presided over the court that settled the Alabama claims."" category=politics"	OK nb_approved appended verbatim: 'Her father sat in the Senate and Cabinet'	/person/mary-harlan-1846		
X03773	nb_approved	"header=""She outlived him by eleven years"" body=""She died at Washington in the spring of 1937 at ninety, and was buried beside him at Arlington. She had outlived her husband by eleven years and their only son by nearly half a century."" category=death"	OK nb_approved appended verbatim: 'She outlived him by eleven years'	/person/mary-harlan-1846		
